"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","No","correct"
"true","fullscreen","0","6065","0.0-0.0","","","","","","","",""
"","instructions","1","28832","0.0-1.0","[{""page_index"":0,""viewing_time"":22764}]","22765","","","","","",""
"","html-keyboard-response","2","29334","0.0-2.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","3","36443","0.0-2.0-1.0","","null","<p class='stim'>過去好幾世紀人類栽種的咖啡幾乎都源自於非洲衣索比亞的少數野生種，而今日世界各地農場上種植的咖啡樹的基因多樣性，只有衣索比亞野生種的 1%。</p>","null","show_stimulus","N/A","0",""
"","html-keyboard-response","4","39891","0.0-2.0-2.0","","3346","<p class='stim'>本文探討咖啡的基因多樣性。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","5","43265","0.0-2.0-3.0","","2870","<p class='stim'>過去人類種植的咖啡幾乎來自於衣索比亞的野生種。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","6","50496","0.0-3.0","","6728","<p class='Instruction'>您的回應正確率為 100%。</p>
          <p class='Instruction'>請按下鍵盤任意按鍵以完成示範題！感謝您！</p>","enter","","","",""
"","html-keyboard-response","7","56015","0.0-4.0","","5519","<p class=""Instruction"">以上是實驗的進行方式，如果您已經準備好進行實驗，請按下【F】鍵以開始正式實驗。</p>","f","","","",""
"","html-keyboard-response","8","56525","0.0-5.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","9","63637","0.0-5.0-1.0","","null","<p class='stim'>統計上的似相性未必就表示內容上具有大重意義，兩件經常參照的事物不定一就是對的。例如，全球氣候暖化與活躍的盜海數量減少，在存著驚人的相關性。這種相關性當然純屬合巧。</p>","null","show_stimulus","N/A","8",""
"","html-keyboard-response","10","72736","0.0-5.0-2.0","","8997","<p class='stim'>統計上相關並不代表內容上具有重大意義。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","8","true"
"","html-keyboard-response","11","77905","0.0-5.0-3.0","","4661","<p class='stim'>根據文意，全球暖化會「導致」海盜減少。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","8","true"
"","html-keyboard-response","12","78928","0.0-5.0-0.1","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","13","86037","0.0-5.0-1.1","","null","<p class='stim'>詹姆士兩歲大了年齡，占據了大半條毯子；威廉雖然年紀比較小，卻十分精明。他強迫睡著先不要自己，等鼾聲詹姆士大作，就把大半毯子都拉到自己這邊。</p>","null","show_stimulus","N/A","20",""
"","html-keyboard-response","14","91361","0.0-5.0-2.1","","5223","<p class='stim'>威廉的年紀小於兩歲。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","20","true"
"","html-keyboard-response","15","94944","0.0-5.0-3.1","","3071","<p class='stim'>威廉等詹姆士睡著後才拉他的毯子。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","20","true"
"","html-keyboard-response","16","95959","0.0-5.0-0.2","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","17","103060","0.0-5.0-1.2","","null","<p class='stim'>科技不斷進步，人類生素質活亦得以提升，但這些享受背後，對能源的需求亦越來越大。傳化統石能源會污環染境，環保新能源例如太陽能、風力發電卻要「望天打卦」。</p>","null","show_stimulus","N/A","11",""
"","html-keyboard-response","18","109312","0.0-5.0-2.2","","6151","<p class='stim'>人類生活素質提高，能源需求也日漸提昇。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","11","true"
"","html-keyboard-response","19","114240","0.0-5.0-3.2","","4423","<p class='stim'>環保能源明顯優於傳統能源。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","j","11","false"
"","html-keyboard-response","20","115256","0.0-5.0-0.3","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","21","122372","0.0-5.0-1.3","","null","<p class='stim'>新聞養素是媒體素養究研底下的一個分支，用於阻斷陰謀論的播傳，以及培養分辨假新聞的力能。它養培人們具備一套技巧，以斷判新聞與資訊的可信度。</p>","null","show_stimulus","N/A","6",""
"","html-keyboard-response","22","125361","0.0-5.0-2.3","","2878","<p class='stim'>新聞素養可阻斷陰謀論的傳播。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","6","true"
"","html-keyboard-response","23","131600","0.0-5.0-3.3","","5730","<p class='stim'>媒體素養是新聞素養下的一個分支。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","6","true"
"","html-keyboard-response","24","132603","0.0-5.0-0.4","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
