"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","No","correct"
"true","fullscreen","0","2920","0.0-0.0","","","","","","","",""
"","instructions","1","21577","0.0-1.0","[{""page_index"":0,""viewing_time"":18655}]","18655","","","","","",""
"","html-keyboard-response","2","22081","0.0-2.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","3","29187","0.0-2.0-1.0","","null","<p class='stim'>過去好幾世紀人類栽種的咖啡幾乎都源自於非洲衣索比亞的少數野生種，而今日世界各地農場上種植的咖啡樹的基因多樣性，只有衣索比亞野生種的 1%。</p>","null","show_stimulus","N/A","0",""
"","html-keyboard-response","4","33842","0.0-2.0-2.0","","4549","<p class='stim'>本文探討咖啡的基因多樣性。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","5","39783","0.0-2.0-3.0","","5439","<p class='stim'>過去人類種植的咖啡幾乎來自於衣索比亞的野生種。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","6","45080","0.0-3.0","","4795","<p class='Instruction'>您的回應正確率為 100%。</p>
          <p class='Instruction'>請按下鍵盤任意按鍵以完成示範題！感謝您！</p>","f","","","",""
"","html-keyboard-response","7","47633","0.0-4.0","","2552","<p class=""Instruction"">以上是實驗的進行方式，如果您已經準備好進行實驗，請按下【F】鍵以開始正式實驗。</p>","f","","","",""
"","html-keyboard-response","8","48135","0.0-5.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","9","55241","0.0-5.0-1.0","","null","<p class='stim'>我們幾乎可以肯定，從服事務業者將步入農工夫人的後塵，大幅度由人系智慧工統取而代之，真人服務也會像難以照顧的銀器、銅器，成為稀有、尊貴的象徵。</p>","null","show_stimulus","N/A","9",""
"","html-keyboard-response","10","59290","0.0-5.0-2.0","","3945","<p class='stim'>服務業會慢慢被人工智慧「完全」取代。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","9","true"
"","html-keyboard-response","11","63097","0.0-5.0-3.0","","3303","<p class='stim'>真人服務會變得稀有。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","9","true"
"","html-keyboard-response","12","64101","0.0-5.0-0.1","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
