"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","No","correct"
"true","fullscreen","0","59577293","0.0-0.0","","","","","","","",""
"","instructions","1","59588097","0.0-1.0","[{""page_index"":0,""viewing_time"":10798}]","10798","","","","","",""
"","html-keyboard-response","2","59588600","0.0-2.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","3","59595713","0.0-2.0-1.0","","null","<p class='stim'>過去好幾世紀人類栽種的咖啡幾乎都源自於非洲衣索比亞的少數野生種，而今日世界各地農場上種植的咖啡樹的基因多樣性，只有衣索比亞野生種的 1%。</p>","null","show_stimulus","N/A","0",""
"","html-keyboard-response","4","59600376","0.0-2.0-2.0","","4556","<p class='stim'>本文探討咖啡的基因多樣性。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","5","59603794","0.0-2.0-3.0","","2918","<p class='stim'>過去人類種植的咖啡幾乎來自於衣索比亞的野生種。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","pretest","f","0","false"
"","html-keyboard-response","6","59607427","0.0-3.0","","3129","<p class='Instruction'>您的回應正確率為 50%。</p>
          <p class='Instruction'>請按下鍵盤任意按鍵以完成示範題！感謝您！</p>"," ","","","",""
"","html-keyboard-response","7","59611262","0.0-4.0","","3834","<p class=""Instruction"">以上是實驗的進行方式，如果您已經準備好進行實驗，請按下【F】鍵以開始正式實驗。</p>","f","","","",""
"","html-keyboard-response","8","59611765","0.0-5.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","9","59618876","0.0-5.0-1.0","","null","<p class='stim'>新聞養素是媒體素養究研底下的一個分支，用於阻斷陰謀論的播傳，以及培養分辨假新聞的力能。它養培人們具備一套技巧，以斷判新聞與資訊的可信度。</p>","null","show_stimulus","N/A","6",""
"","html-keyboard-response","10","59621343","0.0-5.0-2.0","","2360","<p class='stim'>新聞素養可阻斷陰謀論的傳播。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","6","true"
"","html-keyboard-response","11","59625570","0.0-5.0-3.0","","3726","<p class='stim'>媒體素養是新聞素養下的一個分支。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","6","true"
"","html-keyboard-response","12","59626576","0.0-5.0-0.1","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","13","59633687","0.0-5.0-1.1","","null","<p class='stim'>每個人顏色對的主觀都十分感覺，以上的研究發現也仍深入更有待的評估。顏色一種如果能帶給喜悅你、自信或舒適的感覺，就算你身邊的人喜歡不太，也儘管用用看吧。</p>","null","show_stimulus","N/A","24",""
"","html-keyboard-response","14","59637527","0.0-5.0-2.1","","3729","<p class='stim'>作者認為我們應該多聽其他人對挑選顏色的建議。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","j","24","false"
"","html-keyboard-response","15","59639630","0.0-5.0-3.1","","1599","<p class='stim'>大部分人對顏色的感覺大致相同。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","24","true"
"","html-keyboard-response","16","59640636","0.0-5.0-0.2","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","17","59647740","0.0-5.0-1.2","","null","<p class='stim'>「校園槍擊事件、自水來有重金屬鉛汙染、過時的課程和科技、班大教學，結果我們能做的最好的事情，卻是禁止一本有老鼠裸體的納粹大屠殺書。」</p>","null","show_stimulus","N/A","4",""
"","html-keyboard-response","18","59649938","0.0-5.0-2.2","","2094","<p class='stim'>水汙染是文中提及之校園問題之一。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","4","true"
"","html-keyboard-response","19","59652493","0.0-5.0-3.2","","2049","<p class='stim'>作者支持小班教學。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","4","true"
"","html-keyboard-response","20","59653500","0.0-5.0-0.3","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","21","59660606","0.0-5.0-1.3","","null","<p class='stim'>確實有一項重子因要可以顯著預加增測的成功率，是就那認知的方式：凡知都事道一點的「狐狸」要專比精一門的「刺蝟」表更現好。</p>","null","show_stimulus","N/A","14",""
"","html-keyboard-response","22","59662901","0.0-5.0-2.3","","2188","<p class='stim'>文中探討增加預測成功率的因子。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","14","true"
"","html-keyboard-response","23","59667405","0.0-5.0-3.3","","4001","<p class='stim'>文中將凡事都知道一點的人比擬為狐狸，並將專精一門學問的人比擬為刺蝟。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","14","true"
"","html-keyboard-response","24","59668410","0.0-5.0-0.4","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","25","59675516","0.0-5.0-1.4","","null","<p class='stim'>生活中有許多事物可能會對我們形成壓力，例如碌忙的工作、人與人之間的相處摩擦、環境或經濟變化，是都一般人有常的壓力來源。</p>","null","show_stimulus","N/A","2",""
"","html-keyboard-response","26","59679276","0.0-5.0-2.4","","3658","<p class='stim'>文中提及學生的課業壓力是常見的壓力來源。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","2","true"
"","html-keyboard-response","27","59681095","0.0-5.0-3.4","","1315","<p class='stim'>文中敘述人與人相處是一般人常見的壓力來源之一。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","2","true"
"","html-keyboard-response","28","59682101","0.0-5.0-0.5","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","29","59689212","0.0-5.0-1.5","","null","<p class='stim'>帶熱林雨為什麼會不停消失？為什麼止阻砍伐天林然這麼難？其中一個最重要的原因，就是類人糧食及生存間空的匱乏。</p>","null","show_stimulus","N/A","7",""
"","html-keyboard-response","30","59692101","0.0-5.0-2.5","","2785","<p class='stim'>作者認為糧食不足為人類砍乏樹林的原因之一。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","7","true"
"","html-keyboard-response","31","59696808","0.0-5.0-3.5","","4205","<p class='stim'>作者認為熱帶雨林與天然林的消失為氣候變遷所引起。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","7","true"
"","html-keyboard-response","32","59697816","0.0-5.0-0.6","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
