"success","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","No","correct"
"true","fullscreen","0","3556","0.0-0.0","","","","","","","",""
"","instructions","1","7637","0.0-1.0","[{""page_index"":0,""viewing_time"":4078}]","4079","","","","","",""
"","html-keyboard-response","2","8139","0.0-2.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","3","15256","0.0-2.0-1.0","","null","<p class='stim'>過去好幾世紀人類栽種的咖啡幾乎都源自於非洲衣索比亞的少數野生種，而今日世界各地農場上種植的咖啡樹的基因多樣性，只有衣索比亞野生種的 1%。</p>","null","show_stimulus","N/A","0",""
"","html-keyboard-response","4","20271","0.0-2.0-2.0","","4906","<p class='stim'>本文探討咖啡的基因多樣性。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","5","23705","0.0-2.0-3.0","","2923","<p class='stim'>過去人類種植的咖啡幾乎來自於衣索比亞的野生種。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","pretest","f","0","true"
"","html-keyboard-response","6","27575","0.0-3.0","","3357","<p class='Instruction'>您的回應正確率為 100%。</p>
          <p class='Instruction'>請按下鍵盤任意按鍵以完成示範題！感謝您！</p>","j","","","",""
"","html-keyboard-response","7","31922","0.0-4.0","","4346","<p class=""Instruction"">以上是實驗的進行方式，如果您已經準備好進行實驗，請按下【F】鍵以開始正式實驗。</p>","f","","","",""
"","html-keyboard-response","8","32439","0.0-5.0-0.0","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","9","39561","0.0-5.0-1.0","","null","<p class='stim'>每個人顏色對的主觀都十分感覺，以上的研究發現也仍深入更有待的評估。顏色一種如果能帶給喜悅你、自信或舒適的感覺，就算你身邊的人喜歡不太，也儘管用用看吧。</p>","null","show_stimulus","N/A","24",""
"","html-keyboard-response","10","43375","0.0-5.0-2.0","","3709","<p class='stim'>作者認為我們應該多聽其他人對挑選顏色的建議。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","j","24","false"
"","html-keyboard-response","11","46326","0.0-5.0-3.0","","2438","<p class='stim'>大部分人對顏色的感覺大致相同。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","j","24","true"
"","html-keyboard-response","12","47344","0.0-5.0-0.1","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","13","54453","0.0-5.0-1.1","","null","<p class='stim'>確實有一項重子因要可以顯著預加增測的成功率，是就那認知的方式：凡知都事道一點的「狐狸」要專比精一門的「刺蝟」表更現好。</p>","null","show_stimulus","N/A","14",""
"","html-keyboard-response","14","60518","0.0-5.0-2.1","","5956","<p class='stim'>文中探討增加預測成功率的因子。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","j","response","f","14","false"
"","html-keyboard-response","15","67499","0.0-5.0-3.1","","6471","<p class='stim'>文中將凡事都知道一點的人比擬為狐狸，並將專精一門學問的人比擬為刺蝟。</p>
                              <p class='nav'>【正確】 F&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;&emsp;【錯誤】 J</p>","f","response","f","14","true"
"","html-keyboard-response","16","68514","0.0-5.0-0.2","","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","html-keyboard-response","17","75639","0.0-5.0-1.2","","null","<p class='stim'>台灣因為歷關的史係，存許著在多不語的同言。隨著歷史演進，不同的政權帶來不同強勢的語言。而隨強著勢語言的通用，使得原本各族群的母使語用比下例降。</p>","null","show_stimulus","N/A","16",""
